h_Country,h_RegNumber,h_Name,h_Website,merged,matchedOn,h_IsEcommerce,import from master,import from builtwith,score,h_HasMarketingDepartment,h_NOfEmployees,HasGoogleAdsOrFacebookAds,h_Industry1,h_Industry3,Industry_n_norm,h_HasFbOrGoogle,,h_Website_Match FB||GOOGLE
DK,37599573,W H APS,wonhundred.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,camillescacaolove.com
DK,28863179,SOFIE SCHNOOR A/S,sofieschnoorwebshop.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,zenzu.dk
DK,25504801,ITALICSPORT APS,italicsport.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,28,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,zany.dk
DK,34688567,BONVITA FOOTWEAR COMPANY APS,bonvita.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,xn--trjborg-lagersalg-10b.dk
DK,73491010,NEW WAVE DANMARK A/S,newwave.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,28,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,wrabb-it.com
DK,30591534,Designers Remix,designersremix.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,woodway.dk
DK,19950700,NEW WAVE DANMARK A/S,newwave.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,28,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,tuxenstudio.dk
DK,27957064,EUROGATE A/S,eurogate.de,n/a,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,tuanablomster.dk
DK,32287565,Baum und Pferdgarten Win,baumundpferdgarten.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,trainsimple.dk
DK,44141841,RTW. APS,rtw.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,retroshirts.dk
